p1,p2,p3,v1,v2,v3,f1,f2,f3,m,n
-702700,1072000,7186,-0.014,-0.0053,0.0004,0,0,0,1989000000000000000000000000000,sun
-131641410,-71531890.7,-19068,13.703,-26.31222,0.00183,0,0,0,5972000000000000000000000,earth
14625918,43711448,2255110,-56.103,16.843,6.523,0,0,0,330200000000000000000000,mercury
-71693793,79424798,5232331,-26.043,-23.722,1.1778,0,0,0,4868500000000000000000000,venus
-131330771.7,-71343028.601008,-31380.25065,13.1702,-25.37395,-0.09177569,0,0,0,73490000000000000000000,luna
132989692,177264917,440786,-18.479,16.58008,0.8007,0,0,0,641710000000000000000000,mars
-639257033,481613921,12292821,-8.017,-9.82,0.2202,0,0,0,1898130000000000000000000000,jupiter
-736511257,-1296178111,51849101,7.86898,-4.79965,-0.2297,0,0,0,568340000000000000000000000,saturn
2870459923,843647565,-34054300,-1.96998,6.2162,0.048603,0,0,0,86813000000000000000000000,uranus
4137824053.59,-1724362260.7,-59854468,2.0558,5.0495,-0.151598,0,0,0,102413000000000000000000000,neptune
1157472053,-4773796262,176016100,5.38689,0.179365,-1.55548,0,0,0,13070000000000000000000,pluto
-3062293128,3788021080.6,-1466641963.5,-0.06187,1.5631,-0.275999,0,0,0,220000000000000,halley
